[37.782551|-122.445368:37.74546|-122.400551],37.785286,-122.4246999,00:02:56,"""1298 Gough Street, San Francisco, CA 94109, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7741061,-122.4224287,00:05:49,"""80 Page Street, San Francisco, CA 94117, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7738889,-122.4240124,00:06:10,"""203 Octavia Boulevard, San Francisco, CA 94102, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7718078,-122.4234334,00:07:01,"""Central Freeway, San Francisco, CA 94103, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7695953,-122.4167892,00:07:36,"""199 Central Freeway, San Francisco, CA 94103, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.752446,-122.403007,00:10:11,"""El Camino Real, San Francisco, CA 94107, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7503537,-122.4037227,00:10:25,"""Bayshore Freeway, San Francisco, CA 94110, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7488424,-122.4046265,00:10:41,"""2719-2799 Cesar Chavez Street, San Francisco, CA 94110, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.746119,-122.404346,00:11:07,"""3063-3501 Bayshore Freeway, San Francisco, CA 94110, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7460289,-122.4038336,00:11:16,"""151 Bayshore Boulevard, San Francisco, CA 94124, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.747402,-122.403607,00:11:32,"""2380-2398 Jerrold Avenue, San Francisco, CA 94124, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.7452205,-122.4007671,00:12:12,"""2246 Jerrold Avenue, San Francisco, CA 94124, USA"""
[37.782551|-122.445368:37.74546|-122.400551],37.74546,-122.400551,00:12:12,"""2250 Jerrold Avenue, San Francisco, CA 94124, USA"""
