<-22.8998186:-43.2404098>,"Rua Visconde de Niterói, 1310-1460 - Benfica, Rio - Rio de Janeiro, Brazil"
<-22.9003128:-43.2407222>,"Rua Visconde de Niterói, 1310-1460 - Benfica, Rio - Rio de Janeiro, Brazil"
<25.2695768:55.3089605>,Al Maktoum Hospital Road - Dubai - United Arab Emirates
<25.2705165:55.3087739>,49 Al Burj Street - Dubai - United Arab Emirates
<25.2702553:55.3076018>,27th Street - Dubai - United Arab Emirates
<25.277872:55.3037354>,27th Street - Dubai - United Arab Emirates
<25.2795616:55.3041523>,D 85 - Dubai - United Arab Emirates
<37.7845558:-122.4228443>,"1101 Franklin Street, San Francisco, CA 94109, USA"
<37.7854034:-122.4162805>,"498 Hyde Street, San Francisco, CA 94109, USA"
<37.7852918:-122.4162587>,"469-499 Hyde Street, San Francisco, CA 94109, USA"
<37.7856986:-122.4214688>,"1101 Geary Boulevard, San Francisco, CA 94109, USA"
<37.7838298:-122.4210889>,"901 Ellis Street, San Francisco, CA 94109, USA"
<37.7836438:-122.4226573>,"1001 Ellis Street, San Francisco, CA 94109, USA"
<37.7843596:-122.422805>,"1050 Franklin Street, San Francisco, CA 94109, USA"
<37.7832433:-122.4395356>,"2201 Geary Boulevard, San Francisco, CA 94115, USA"
<37.782455:-122.4393321>,"2107 O'Farrell Street, San Francisco, CA 94115, USA"
<37.7826711:-122.4376422>,"2001 O'Farrell Street, San Francisco, CA 94115, USA"
<37.7873249:-122.438582>,"1901 Scott Street, San Francisco, CA 94115, USA"
<37.7871189:-122.4402601>,"2707 Pine Street, San Francisco, CA 94104, USA"
<37.7869625:-122.4402282>,"1853-1899 Divisadero Street, San Francisco, CA 94115, USA"
<37.7828127:-122.4438267>,"2570 Geary Boulevard, San Francisco, CA 94115, USA"
<37.7822809:-122.4474699>,"2703 Geary Boulevard, San Francisco, CA 94117, USA"
<37.7810555:-122.4476023>,"85 Masonic Avenue, San Francisco, CA 94118, USA"
<37.7807711:-122.4498171>,"311 Anza Street, University of San Francisco, University of San Francisco - Lone Mountain Campus, Loyola Village, San Francisco, CA 94118, USA"
<37.7820526:-122.4500918>,"289 Collins Street, San Francisco, CA 94118, USA"
<37.7825247:-122.4453627>,"2570 Geary Boulevard, San Francisco, CA 94121, USA"
<37.7989716:-122.4359187>,"2207 Greenwich Street, San Francisco, CA 94123, USA"
<37.7999924:-122.4276669>,"2898 Gough Street, San Francisco, CA 94123, USA"
<37.7862158:-122.4248681>,"1398 Post Street, San Francisco, CA 94109, USA"
<37.7891033:-122.4021328>,"2-18 Post Street, San Francisco, CA 94104, USA"
<37.7843177:-122.439698>,"2325 Post Street, San Francisco, CA 94115, USA"
<37.7844584:-122.4160959>,"609 Ellis Street, San Francisco, CA 94109, USA"
<37.7846631:-122.4144723>,"498 Ellis Street, San Francisco, CA 94102, USA"
<37.7874653:-122.4149854>,"698 Leavenworth Street, San Francisco, CA 94109, USA"
